[LIVE] 31.131.248.48:3129 | TRANSPARENT | DATACENTER | 802ms | Score: 30 | ISP: JSC Selectel | Google: ❌ CF: ❌
[LIVE] 86.104.72.220:1082 | TRANSPARENT | DATACENTER | 1311ms | Score: 45 | ISP: WorkTitans B.V. | Google: ✅ CF: ✅
[LIVE] 46.36.37.133:8080 | TRANSPARENT | RESIDENTIAL | 699ms | Score: 45 | ISP: SecurityNet.cz s.r.o. | Google: ❌ CF: ❌
[LIVE] 152.53.210.85:8081 | TRANSPARENT | RESIDENTIAL | 1172ms | Score: 40 | ISP: netcup GmbH | Google: ❌ CF: ❌
[LIVE] 185.206.82.165:8080 | ELITE | RESIDENTIAL | 2468ms | Score: 65 | ISP: DIL Technology Limited | Google: ❌ CF: ❌
[LIVE] 174.138.161.204:56288 | TRANSPARENT | DATACENTER | 5537ms | Score: 25 | ISP: Secured Servers LLC | Google: ❌ CF: ❌
[LIVE] 134.209.17.232:80 | ELITE | DATACENTER | 514ms | Score: 60 | ISP: DigitalOcean, LLC | Google: ❌ CF: ❌
[LIVE] 134.209.242.116:80 | ELITE | DATACENTER | 423ms | Score: 60 | ISP: DigitalOcean, LLC | Google: ❌ CF: ❌
[LIVE] 41.60.232.201:8080 | ELITE | RESIDENTIAL | 5030ms | Score: 65 | ISP: Maintainer Liquid Telecommunications Operations Limited | Google: ❌ CF: ❌
[LIVE] 103.35.190.69:1081 | TRANSPARENT | DATACENTER | 3481ms | Score: 25 | ISP: WorkTitans B.V. | Google: ❌ CF: ❌
[LIVE] 5.75.139.30:1081 | TRANSPARENT | DATACENTER | 9508ms | Score: 35 | ISP: Hetzner Online GmbH | Google: ✅ CF: ❌
